"Hecho Punible","Dpto","Denunciado","Aclarado"
"LESION CULPOSA EN ACC. DE TTO.","Boqueron","6","6"
"LESION     ","Boqueron","11","7"
"ROBO DE OBJETOS ","Boqueron","0","0"
"ROBO AGRAVADO DE OBJETOS","Boqueron","1","1"
"ROBO DE VEHICULOS","Boqueron","1","0"
"ROBO AGRAVADO DE VEHICULOS","Boqueron","0","0"
"ROBO DE MOTOCICLETAS","Boqueron","3","1"
"ROBO AGRAVADO DE MOTOCICLETAS","Boqueron","0","0"
"ABIGEATO","Presidente Hayes","3","2"
"COACCION SEXUAL","Presidente Hayes","3","2"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Presidente Hayes","9","9"
"HOMICIDIO DOLOSO ","Presidente Hayes","4","4"
"HURTO","Presidente Hayes","11","5"
"HURTO AGRAVADO","Presidente Hayes","2","0"
"LESION CULPOSA EN ACC. DE TTO.","Presidente Hayes","13","13"
"LESION     ","Presidente Hayes","11","9"
"ROBO DE OBJETOS ","Presidente Hayes","2","1"
"ROBO AGRAVADO DE OBJETOS","Presidente Hayes","7","4"
"ROBO DE VEHICULOS","Presidente Hayes","1","0"
"ROBO AGRAVADO DE VEHICULOS","Presidente Hayes","0","0"
"ROBO DE MOTOCICLETAS","Presidente Hayes","22","7"
"ROBO AGRAVADO DE MOTOCICLETAS","Presidente Hayes","1","0"
